Percent	BIN	NumCellsInBinPerHundredThousand	TotalErrorRate	methy	demethy
0.000143149	0	14.31494783	0.001	0	0.001
0.000269805	0.02	26.98050475	0.001	2E-05	0.00098
0.00091566	0.04	91.56601888	0.001	0.00004	0.00096
0.00114652	0.06	114.6519752	0.001	0.00006	0.00094
0.000772511	0.08	77.25107106	0.001	0.00008	0.00092
0.000477827	0.1	47.78268905	0.001	1E-04	0.0009
0.000380739	0.12	38.07389977	0.001	0.00012	0.00088
0.000399495	0.14	39.94946134	0.001	0.00014	0.00086
0.000492114	0.16	49.21142566	0.001	0.00016	0.00084
0.000644973	0.18	64.49725241	0.001	0.00018	0.00082
0.000851174	0.2	85.11739691	0.001	0.0002	0.0008
0.00116682	0.22	116.6819948	0.001	0.00022	0.00078
0.001669415	0.24	166.9415284	0.001	0.00024	0.00076
0.002409655	0.26	240.9655303	0.001	0.00026	0.00074
0.003492571	0.28	349.2571452	0.001	0.00028	0.00072
0.005188465	0.3	518.8465252	0.001	0.0003	0.0007
0.007823022	0.32	782.3022452	0.001	0.00032	0.00068
0.011828891	0.34	1182.889097	0.001	0.00034	0.00066
0.018141149	0.36	1814.114859	0.001	0.00036	0.00064
0.027322078	0.38	2732.207761	0.001	0.00038	0.00062
0.039480516	0.4	3948.051578	0.001	0.0004	0.0006
0.053155456	0.42	5315.545581	0.001	0.00042	0.00058
0.065228666	0.44	6522.866626	0.001	0.00044	0.00056
0.074181935	0.46	7418.193521	0.001	0.00046	0.00054
0.080673419	0.48	8067.341928	0.001	0.00048	0.00052
0.084714151	0.5	8471.415118	0.001	0.0005	0.0005
0.086727677	0.52	8672.767685	0.001	0.00052	0.00048
0.085985285	0.54	8598.528545	0.001	0.00054	0.00046
0.081905829	0.56	8190.582872	0.001	0.00056	0.00044
0.073437172	0.58	7343.717178	0.001	0.00058	0.00042
0.059573462	0.6	5957.3462	0.001	0.0006	0.0004
0.043273949	0.62	4327.394938	0.001	0.00062	0.00038
0.028662001	0.64	2866.200086	0.001	0.00064	0.00036
0.01820751	0.66	1820.751037	0.001	0.00066	0.00034
0.011455875	0.68	1145.587488	0.001	0.00068	0.00032
0.00739236	0.7	739.2360419	0.001	0.0007	0.0003
0.004952089	0.72	495.2089331	0.001	0.00072	0.00028
0.003490475	0.74	349.0475236	0.001	0.00074	0.00026
0.002512922	0.76	251.2921516	0.001	0.00076	0.00024
0.001888525	0.78	188.8525005	0.001	0.00078	0.00022
0.001472206	0.8	147.2205502	0.001	0.0008	0.0002
0.001215529	0.82	121.5529385	0.001	0.00082	0.00018
0.001038454	0.84	103.8454308	0.001	0.00084	0.00016
0.000912295	0.86	91.22952107	0.001	0.00086	0.00014
0.000827674	0.88	82.7674286	0.001	0.00088	0.00012
0.000718285	0.9	71.82849159	0.001	0.0009	0.0001
0.000575135	0.92	57.51354376	0.001	0.00092	0.00008
0.00039293	0.94	39.29301479	0.001	0.00094	6E-05
0.000226612	0.96	22.66119679	0.001	0.00096	0.00004
0.000140612	0.98	14.06119538	0.001	0.00098	0.00002
4.49583E-05	1	4.495831399	0.001	0.001	0
